cluster_id, size, top_supervised, top_count, purity            , entropy           , normalized_entropy
         1, 3932,              3,      3091, 0.7861139369277721, 0.7405372890333124, 0.46012168802046555
         2, 2684,              5,      1666, 0.620715350223547 , 0.8373956882744353, 0.5203031951744974
         3, 1860,              1,       637, 0.3424731182795699, 1.2761667972293194, 0.7929270134436286
         4, 1466,              3,       794, 0.5416098226466576, 1.1978194924993897, 0.7442470959863358
         5, 1014,              3,       749, 0.7386587771203156, 0.8305063415504761, 0.5160226033786077
